"OCC_CODE","cognitive_abilities","physical_abilities","psychomotor_abilities","sensory_abilities","assisting_and_caring","cramped_work_space","fine_arts","finger_dexterity","manual_dexterity","Negotiation","Originality","Persuasion","social_perceptiveness"
"51-3023",1.95908108108108,1.98333333333333,2.537,1.375,1.55,1.72,0,3,3,1.12,0.88,0.88,1.75
"51-3091",2.45632432432432,1.87555555555556,2.551,2.21833333333333,2.87,2.13,0.25,3,3,2.12,2.12,2.25,2.12
"51-3092",2.38886486486486,1.54111111111111,2.375,1.66333333333333,2.43,2.48,0.32,2.38,3,1.62,1.5,1.62,2.75
"51-3093",2.37389189189189,1.54111111111111,2.413,1.84416666666667,2.89,2.41,0,2.38,2.62,1.62,1.38,1.38,2.5
"51-4011",2.79610810810811,1.87444444444444,3.349,2.93666666666667,2.27,2.52,0.37,3.62,3.75,2.12,3,2.5,2.75
"51-4012",2.8392972972973,1.41777777777778,2.537,1.91583333333333,1.78,1.68,0.76,3,2.75,1.88,3,2.5,2.75
"51-4021",2.42940540540541,2.30444444444444,3.012,2.385,1.68,2.33,0.42,3.25,3,1.5,2,1.88,2.38
"51-4022",2.5452972972973,1.86111111111111,2.823,2.15666666666667,2.08,2.9,0.67,3.12,3.12,2.12,2.12,2.12,2.38
"51-4023",2.74183783783784,2.25,3.325,2.49083333333333,2.94,2.31,0,3.12,3,1.62,2.12,1.75,2.5
"51-4031",2.33518918918919,2.09555555555556,2.887,2.17583333333333,1.79,2.4,0,3.12,3.12,1.88,1.88,1.75,2
"51-4032",2.47227027027027,1.75,2.761,2.22916666666667,2.38,2.03,0.39,3.5,3.12,1.88,2.12,2,2.25
"51-4033",2.43978378378378,2.02777777777778,3.023,2.07083333333333,2.83,1.84,0.18,3,3.12,1.38,1.75,1.62,2.25
"51-4034",2.38567567567568,1.92888888888889,2.648,1.94833333333333,1.52,1.83,0.25,3.12,3,1,2,1.38,2.12
"51-4035",2.30508108108108,1.86222222222222,2.748,1.89666666666667,2.33,1.62,0.07,3.25,3.12,1.5,2.25,1.62,2.25
"51-4041",2.57481081081081,2.05555555555556,3.174,2.42666666666667,1.73,1.63,0.48,3.62,3.38,2.12,3.12,2.5,2.75
"51-4051",2.60697297297297,2.38777777777778,2.974,2.6275,2.38,2.66,0.04,3,3.25,2,2,2.25,2.38
"51-4052",2.5652972972973,1.90222222222222,2.736,2.42833333333333,3.09,2.67,0.67,3,3.25,2.12,2.12,2.12,2.12
"51-4061",2.40302702702703,1.84777777777778,2.949,2.01083333333333,1.65,2.29,0.05,3.25,3.38,1.38,2.75,1.88,2.62
"51-4062",2.47481081081081,1.61,2.66,2.22916666666667,1.21,2.71,0.04,3.12,3.12,1.75,2.5,1.75,2.5
"51-4071",2.11308108108108,2.23444444444444,2.623,1.88583333333333,2.07,2.52,0.13,3.25,3.62,1.12,1.25,1.25,2.12
"51-4072",2.33621621621622,2.40444444444444,2.736,2.27,2.41,2.35,0.02,3.12,3,2,2.25,2,2.12
"51-4081",2.54389189189189,1.79111111111111,2.913,2.32416666666667,1.91,2.8,0.68,3.25,3.12,2,2.12,2.12,2.12
"51-4111",2.68594594594595,1.65333333333333,2.838,2.01916666666667,2.49,1.58,0.17,3.38,3,1.38,2.88,1.62,2
"51-4121",2.16997297297297,1.90888888888889,2.5745,2.02125,2.58,1.885,0.18,3.315,2.88,1.565,1.63,1.75,2.125
"51-4122",2.31681081081081,2.01444444444444,2.674,2.08166666666667,2.02,2.89,0.19,3.25,3.12,1.75,1.62,1.75,2.5
"51-4191",2.49594594594595,2.29111111111111,2.987,2.47916666666667,1.84,2.85,0.02,3,3.12,1.62,1.88,1.88,2.5
"51-4192",2.80475675675676,1.91666666666667,2.475,2.135,3.45,2.92,0.11,3.12,3.12,1.62,2.25,1.75,2.75
"51-4193",2.53162162162162,1.95666666666667,2.55,2.08333333333333,2.74,2,0.08,3,3.25,2.12,2.25,2.12,2.25
"51-4194",2.46172972972973,1.94444444444444,2.888,2.08333333333333,1.93,2.19,0.45,3.5,3.5,2,2.12,2.12,2.12
"51-5111",2.39816216216216,0.292222222222222,1.838,1.7925,1.34,1.33,1.99,2.75,2.75,2.12,3,2.38,2.75
"51-5112",2.39821621621622,1.83444444444444,2.863,2.0625,2.14,3.18,0.03,3.62,3.12,2.25,2.62,2.5,2.88
"51-5113",2.40086486486486,2.22111111111111,2.637,2.355,2.32,2.47,0.25,3.25,3.12,1.88,2.38,2.25,2.62
"51-6011",2.04135135135135,1.87333333333333,2.111,1.47916666666667,2.81,1.32,0.28,3,2.62,2.12,2,2.12,2.25
"51-6021",1.822,1.91777777777778,2.711,1.46916666666667,2.89,1.69,0.31,3.12,3,1.12,1.25,1.25,1.75
"51-6031",1.81372972972973,1.48333333333333,2.775,1.65583333333333,1.77,1.56,0.18,3.25,3.25,1.5,1.25,1.5,1.88
"51-6041",1.80616216216216,1.43444444444444,2.314,1.65833333333333,1.35,1.59,0.55,3,3,1.38,0.88,2.12,2.25
"51-6042",2.12535135135135,1.70888888888889,2.603,1.80416666666667,2.14,1.27,1.12,3.38,3.13,1.25,1.88,1.62,1.88
"51-6051",2.19221621621622,0.405555555555556,2.626,1.69916666666667,1.48,1.37,2.48,4.25,3.75,2,2.38,1.88,2
"51-6052",2.31535135135135,0.808888888888889,2.426,1.55416666666667,2.97,2.18,0.66,3.75,3,2.25,2.63,2.12,2.62
"51-6061",2.40643243243243,1.98888888888889,2.814,1.73083333333333,2.53,1.78,0.86,3.25,2.88,1.62,2.13,1.88,2.38
"51-6062",2.16237837837838,2.11111111111111,2.974,2.34583333333333,1.8,2.12,0,3.12,3,1.62,2,1.62,1.88
"51-6063",1.95572972972973,1.66888888888889,2.816,1.76166666666667,1.43,2.83,0.26,3.63,3.13,1.38,1.5,1.75,1.88
"51-6064",2.22335135135135,2.32111111111111,3.211,2.01083333333333,1.94,1.84,0.01,3.75,3.38,1.62,2,1.62,2
